Ticker,Price,Pole Gain%,Range%,EMA9
MCLEODRUSS.NS,76.85,170.7,6.1,73.44
SANGINITA.NS,29.19,136.0,8.2,27.25
ADANIGREEN.NS,1446.9,84.6,9.2,1437.14
SETCO.NS,28.62,81.9,8.2,26.94
CUPID.NS,129.09,76.1,5.2,126.42
ADANIENT.NS,2909.4,69.0,7.2,2863.3
IDEA.NS,13.95,66.2,4.1,13.79
ANGELONE.NS,335.6,63.8,5.1,333.84
LLOYDSME.NS,1817.6,62.9,8.1,1788.55
MANALIPETC.NS,59.53,59.8,8.0,59.08
ANTELOPUS.NS,813.55,58.4,9.9,762.04
SYRMA.NS,1107.3,53.6,7.6,1060.14
MWL.NS,376.65,52.9,6.5,372.39
WINSOME.NS,2.45,52.2,8.9,2.3
PREMIERENE.NS,1052.7,50.4,8.0,1029.41
JARO.NS,573.2,50.0,6.0,550.75
TATACOMM.NS,1942.6,49.1,8.6,1893.86
BANDHANBNK.NS,207.14,47.8,7.9,202.39
BETA.NS,1423.4,47.3,8.2,1376.74
LAURUSLABS.NS,1388.4,47.1,4.4,1355.69
NUVAMA.NS,1557.0,46.9,7.0,1523.5
AJAXENGG.NS,588.35,46.0,7.5,574.27
RKSWAMY.NS,99.52,45.6,4.9,97.17
SAIL.NS,203.69,44.1,5.1,201.83
KDDL.NS,2701.4,42.3,9.7,2663.17
INDOBORAX.NS,343.3,41.6,9.5,325.84
TATATECH.NS,714.8,41.3,8.0,694.12
ACMESOLAR.NS,307.2,41.3,8.3,300.6
HONAUT.NS,35070.0,37.4,7.4,34111.54
HINDALCO.NS,1141.3,36.8,7.4,1118.47
STYLAMIND.NS,2958.0,36.7,7.6,2806.57
SAMMAANCAP.NS,177.35,36.4,8.6,167.27
COFORGE.NS,1461.2,36.1,8.4,1402.57
TMPV.NS,384.9,35.4,9.7,381.81
YESBANK.NS,23.01,34.2,7.1,22.61
KAPSTON.NS,342.4,33.3,9.1,340.63
GCSL.NS,417.2,33.0,7.8,401.49
ABB.NS,7027.5,30.1,9.2,6956.09
SANGAMIND.NS,525.75,29.8,8.4,512.57
SHYAMMETL.NS,961.4,28.6,5.6,949.98
ENDURANCE.NS,2732.2,27.3,4.1,2690.48
APCL.NS,120.17,27.2,5.8,119.98
ZYDUSLIFE.NS,1091.2,26.8,7.1,1057.79
IRIS.NS,258.75,24.9,9.7,252.86
KPITTECH.NS,786.1,24.4,6.9,765.61
IDFCFIRSTB.NS,71.25,21.5,5.5,70.37
BGLOBAL.NS,3.26,21.2,4.8,3.13
MPHASIS.NS,2310.5,20.3,6.7,2247.5
